AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,SOLIDITY,ROUNDNESS,COMPACTNESS,class
416064,2359.616,818.8146,650.6287,0.9924,0.939,0.8889,1
453074,2464.8979,855.7032,681.0208,0.9948,0.9371,0.8876,1
409032,2313.9509,804.1159,650.1132,0.9947,0.96,0.8975,1
429203,2362.936,831.4949,658.4715,0.9971,0.966,0.8891,1
453763,2476.709,851.0314,684.578,0.9909,0.9296,0.8931,1
353766,2150.718,720.5316,629.297,0.9936,0.9611,0.9315,1
288730,1997.627,740.3677,497.8095,0.9891,0.9092,0.8189,1
411542,2339.4231,814.2525,646.2658,0.9925,0.9449,0.889,1
383504,2288.917,784.1191,626.8956,0.9907,0.9199,0.8912,1
430176,2396.55,865.903,637.2376,0.9974,0.9412,0.8547,1
438436,2417.197,860.3224,652.1378,0.997,0.943,0.8685,1
497802,2561.291,907.5524,701.4491,0.9957,0.9536,0.8772,1
454917,2485.562,869.7584,672.0792,0.9927,0.9253,0.875,1
392588,2274.2759,803.3082,625.8399,0.9973,0.9538,0.8801,1
384232,2263.4819,787.2324,624.8104,0.9914,0.9424,0.8885,1
294273,2004.96,735.2715,510.9962,0.9922,0.9199,0.8325,1
445290,2435.3889,857.8929,663.8074,0.994,0.9434,0.8777,1
375936,2255.8411,817.8654,589.0416,0.9945,0.9283,0.8459,1
439650,2447.7371,890.0155,635.1306,0.9926,0.9221,0.8406,1
433338,2423.301,836.3414,664.9469,0.9932,0.9273,0.8881,1
500669,2580.3069,913.3773,702.0745,0.9948,0.945,0.8741,1
230122,1804.354,649.0608,454.532,0.9883,0.8882,0.834,2
231946,1800.8101,678.9835,436.4881,0.9922,0.8988,0.8004,2
218006,1754.282,671.6726,414.585,0.993,0.8902,0.7844,2
272074,2031.781,778.5798,446.9384,0.9823,0.8282,0.756,2
222790,1766.324,651.6551,436.6493,0.9932,0.8974,0.8173,2
332286,2287.0071,875.3194,485.2886,0.9807,0.7983,0.7431,2
265701,1968.802,746.8929,454.7724,0.992,0.8614,0.7787,2
213610,1742.515,644.6515,422.7329,0.9896,0.8841,0.809,2
267823,1988.671,781.2097,441.0466,0.9915,0.851,0.7475,2
235942,1893.777,744.0038,404.7032,0.9831,0.8267,0.7367,2
261890,2027.2321,697.621,482.5237,0.9751,0.8008,0.8277,2
285100,2053.1699,791.5107,463.6347,0.9897,0.8499,0.7612,2
326556,2313.791,856.9423,487.3175,0.9792,0.7665,0.7525,2
225074,1813.77,695.2525,413.8533,0.9921,0.8597,0.77,2
217486,1759.136,628.9557,442.0542,0.9899,0.8832,0.8367,2
277321,2136.825,687.59,517.3867,0.976,0.7632,0.8642,2
270195,2019.839,773.6254,446.5426,0.9838,0.8322,0.7582,2
218442,1739.191,643.4506,434.7849,0.9927,0.9075,0.8196,2
271398,1965.458,750.8526,461.674,0.9942,0.8829,0.7829,2
253276,1961.04,740.2677,437.3487,0.9822,0.8276,0.7671,2
215340,1741.5811,656.6985,418.8187,0.9936,0.8922,0.7974,2
248661,1888.577,679.4809,468.2696,0.9825,0.8761,0.8281,2
161461,1519.229,583.6688,352.6311,0.994,0.8791,0.7768,2
270495,1909.204,680.4979,506.7375,0.993,0.9325,0.8624,2
192966,1718.127,656.2819,433.3523,0.909,0.8214,0.7553,2
254070,1919.738,730.9252,445.2328,0.9926,0.8663,0.7781,2
206921,1741.754,675.7445,392.1072,0.9924,0.8571,0.7596,2
180508,1600.713,607.4841,379.2685,0.9938,0.8853,0.7892,2
296944,2109.8491,796.0836,475.9379,0.9871,0.8383,0.7724,2
163130,1535.853,603.0044,345.0351,0.9946,0.869,0.7558,2
232841,1773.947,622.0897,477.5462,0.9935,0.9298,0.8752,2
247112,1885.546,694.2448,455.8577,0.9899,0.8734,0.808,2
246014,1883.0909,703.1213,448.6442,0.9893,0.8718,0.796,2
245029,1868.936,686.7975,455.5268,0.9857,0.8815,0.8133,2
210311,1798.92,671.3657,443.1094,0.919,0.8167,0.7708,2
154570,1469.786,535.559,368.1646,0.9913,0.8991,0.8283,2
260999,1924.509,670.0057,499.8724,0.9813,0.8855,0.8604,2
212744,1720.303,628.2148,432.3847,0.9918,0.9034,0.8285,2
261085,1933.101,729.5468,458.4311,0.9909,0.878,0.7903,2
219065,1769.278,677.1313,414.3256,0.9937,0.8794,0.78,2
179780,1605.504,588.5084,390.5041,0.989,0.8765,0.813,2
169573,1548.983,594.8965,364.4516,0.9932,0.8881,0.7811,2
236515,1795.649,604.2608,502.4642,0.9923,0.9218,0.9082,2
248928,1888.111,719.0459,443.0684,0.9906,0.8775,0.783,2
233279,1812.4,649.0758,459.3955,0.9865,0.8924,0.8396,2
226401,1787.076,679.6693,425.3827,0.9934,0.8908,0.7899,2
246558,1865.2419,664.2224,475.3474,0.9865,0.8906,0.8435,2
318444,2127.3269,805.9418,504.5724,0.9938,0.8842,0.7901,2
248660,1877.7,696.1558,456.765,0.9922,0.8863,0.8083,2
300532,2084.9929,782.9263,492.0452,0.9832,0.8687,0.7901,2
239253,1839.9301,670.9352,455.55,0.9887,0.8881,0.8226,2
190722,1769.671,664.2511,418.4305,0.8928,0.7653,0.7419,2
197484,1709.35,648.6502,391.0428,0.989,0.8493,0.7731,2
242874,1843.916,647.9982,479.8817,0.9906,0.8977,0.8582,2
338670,2195.106,792.2873,546.0946,0.9893,0.8832,0.8288,2
205893,1693.483,615.3438,428.3036,0.9902,0.9022,0.8321,2
246430,1910.897,732.1472,431.656,0.9843,0.8481,0.7651,2
189127,1660.097,621.9744,389.451,0.9843,0.8624,0.789,2
254321,1869.425,665.5273,489.1867,0.9899,0.9145,0.855,2
320905,2131.252,787.4969,520.4378,0.9918,0.8878,0.8117,2
237021,1826.079,661.274,457.4288,0.9936,0.8932,0.8307,2
320180,2153.5339,781.1882,525.6301,0.9852,0.8676,0.8173,2
237074,1827.438,676.1337,447.9627,0.9919,0.8921,0.8126,2
212851,1826.406,675.8557,453.7003,0.8987,0.8018,0.7703,2
253677,1859.243,666.5269,486.7168,0.9924,0.9222,0.8527,2
211558,1743.938,657.1328,413.1603,0.992,0.8741,0.7898,2
351733,2261.1001,840.3734,544.2642,0.9787,0.8645,0.7963,2
226442,1776.88,624.4857,463.8141,0.9875,0.9013,0.8598,2
274959,1959.943,718.3584,489.0562,0.9897,0.8995,0.8237,2
198410,1695.782,636.7207,398.5815,0.9875,0.867,0.7894,2
215507,1800.814,707.0419,389.2315,0.9928,0.8351,0.7409,2
209998,1728.412,619.6617,433.4965,0.9851,0.8833,0.8345,2
267943,1993.986,760.1838,451.6438,0.9863,0.8469,0.7683,2
252950,1909.678,738.9279,438.0078,0.9929,0.8716,0.768,2
220042,1758.4399,653.5543,430.2653,0.9922,0.8943,0.8099,2
202546,1698.973,605.3612,428.199,0.988,0.8818,0.8389,2
189983,1672.8831,641.0609,378.4418,0.9919,0.8531,0.7672,2
187606,1630.703,599.4528,399.2988,0.9913,0.8866,0.8153,2
214952,1758.241,655.6318,419.8517,0.9903,0.8738,0.7979,2
203607,1703.28,614.098,423.8694,0.992,0.8819,0.8291,2
220056,1726.933,618.8439,455.1255,0.9936,0.9272,0.8553,2
243520,1906.798,719.8704,431.61,0.9871,0.8417,0.7735,2
176050,1573.8521,590.4749,380.9525,0.9916,0.8931,0.8018,2
161602,1700.896,671.8093,404.6781,0.8374,0.7019,0.6752,2
196414,1653.057,605.6224,414.072,0.9885,0.9032,0.8257,2
222950,1752.439,602.6717,474.1278,0.9903,0.9123,0.8841,2
250947,1905.2841,732.446,439.0812,0.9908,0.8687,0.7717,2
239427,1875.272,708.0372,431.308,0.9881,0.8556,0.7798,2
190954,1628.9189,610.1746,399.0778,0.9937,0.9044,0.8081,2
216487,1746.856,659.9696,420.1559,0.9923,0.8915,0.7955,2
280320,2029.684,751.5424,476.7822,0.9836,0.8551,0.7949,2
191163,1695.764,641.0919,380.346,0.9865,0.8354,0.7695,2
197424,1691.033,623.2335,405.1581,0.9896,0.8676,0.8045,2
192454,1657.265,622.9678,394.7744,0.9902,0.8805,0.7946,2
212900,1740.348,651.9711,417.6589,0.9901,0.8833,0.7986,2
177803,1573.6281,605.3248,375.6269,0.9948,0.9023,0.786,2
226586,1773.175,662.9202,436.9543,0.9919,0.9056,0.8102,2
209100,1708.429,642.4437,416.5172,0.9918,0.9003,0.8032,2
138167,1370.208,498.7525,353.9258,0.9925,0.9248,0.841,3
138362,1411.187,525.3536,336.471,0.9836,0.8731,0.7989,3
160562,1514.448,570.1646,359.911,0.9913,0.8797,0.793,3
208042,1725.811,649.4158,411.8994,0.9918,0.8778,0.7925,3
143391,1416.606,544.4253,335.9414,0.9943,0.8979,0.7848,3
209723,1749.959,686.3148,390.2822,0.9928,0.8606,0.7529,3
156476,1502.326,565.1384,353.8776,0.9882,0.8712,0.7898,3
126137,1356.411,507.2314,318.8602,0.9857,0.8615,0.7901,3
143297,1440.493,559.0104,328.0878,0.9927,0.8678,0.7641,3
147389,1481.552,570.8041,332.1487,0.986,0.8438,0.7589,3
134784,1396.613,512.9982,337.8875,0.9814,0.8684,0.8075,3
145210,1424.349,535.0179,346.342,0.992,0.8994,0.8037,3
146059,1428.892,518.9333,359.8793,0.9903,0.899,0.831,3
166950,1568.7729,578.2525,372.5923,0.9879,0.8525,0.7973,3
150891,1453.5959,532.0154,363.603,0.9888,0.8974,0.8239,3
106793,1217.454,434.7454,313.3625,0.9883,0.9054,0.8482,3
190634,1662.217,625.8346,390.4694,0.9884,0.867,0.7872,3
144637,1422.494,523.191,352.5846,0.9905,0.8982,0.8202,3
129886,1365.856,519.2155,318.9104,0.9908,0.8749,0.7832,3
126292,1319.9,488.1225,330.096,0.9929,0.911,0.8215,3
136138,1404.201,530.9112,329.2051,0.988,0.8676,0.7842,3
151713,1481.229,582.5072,331.9456,0.9931,0.8689,0.7545,3
99342,1151.923,404.4212,313.0898,0.9921,0.9408,0.8794,3
73663,999.363,362.0138,259.5558,0.994,0.9269,0.846,3
143668,1446.12,553.8131,332.1207,0.9889,0.8633,0.7723,3
63328,933.937,342.7969,235.6772,0.989,0.9124,0.8284,3
113667,1251.496,462.6203,313.1204,0.9936,0.912,0.8223,3
148679,1477.3669,565.0262,337.5208,0.9868,0.856,0.77,3
153353,1501.488,585.9454,335.2349,0.9885,0.8548,0.7541,3
123912,1294.531,470.6189,335.611,0.9946,0.9292,0.844,3
149845,1467.722,573.7374,333.2054,0.9918,0.8741,0.7613,3
144975,1426.858,535.9053,345.1051,0.9922,0.8948,0.8017,3
136538,1383.509,503.1316,347.8224,0.9861,0.8964,0.8287,3
162525,1520.96,569.8452,363.798,0.9908,0.8829,0.7983,3
129998,1385.066,511.4419,324.9084,0.9839,0.8515,0.7955,3
151554,1454.797,541.0281,357.0083,0.9941,0.8999,0.8119,3
168314,1634.188,611.652,396.3839,0.8996,0.792,0.7569,3
168126,1581.353,611.1715,369.9803,0.9631,0.8449,0.757,3
169280,1586.569,589.5577,367.1072,0.984,0.8451,0.7875,3
145165,1466.083,557.8549,332.8617,0.9873,0.8487,0.7707,3
148181,1486.942,548.4078,345.0912,0.9836,0.8422,0.792,3
178137,1613.375,611.778,371.4034,0.9873,0.86,0.7785,3
65590,1039.924,372.3486,279.8673,0.8366,0.7622,0.7761,3
136159,1393.309,518.6189,335.3107,0.9861,0.8814,0.8028,3
207698,1792.785,677.1498,416.9406,0.9484,0.8121,0.7594,3
138061,1397.4399,533.3875,330.7272,0.9927,0.8884,0.786,3
172108,1570.163,586.244,376.8531,0.9895,0.8772,0.7985,3
137932,1404.546,524.6572,335.7947,0.987,0.8786,0.7988,3
207029,1765.353,704.8253,375.3293,0.9929,0.8348,0.7284,3
151596,1499.804,576.5701,335.9818,0.989,0.8469,0.762,3
127056,1364.663,500.5718,325.939,0.9852,0.8573,0.8035,3
138262,1403.356,542.065,326.1642,0.9935,0.8822,0.774,3
138766,1392.42,520.9381,340.4706,0.9918,0.8994,0.8069,3
153752,1497.799,560.4558,353.3676,0.9892,0.8612,0.7894,3
158096,1524.178,572.8527,353.2698,0.9898,0.8552,0.7832,3
143261,1423.744,529.3361,348.0392,0.9917,0.8881,0.8068,3
146827,1447.351,558.1056,335.986,0.9919,0.8808,0.7747,3
158924,1497.396,549.2912,370.9325,0.9886,0.8907,0.8189,3
102215,1196.941,428.5742,304.2583,0.9858,0.8966,0.8418,3
187667,1650.6479,612.0896,393.5074,0.9859,0.8655,0.7986,3
143352,1427.5811,515.6693,354.6234,0.9865,0.8839,0.8285,3
242106,1897.218,733.3027,424.0022,0.9891,0.8452,0.7571,3
138769,1404.488,516.3408,344.0673,0.9906,0.884,0.8141,3
140276,1396.4659,515.7888,346.9041,0.9889,0.9039,0.8194,3
84406,1084.765,394.5068,273.1771,0.9899,0.9014,0.831,3
123321,1332.6071,506.1284,311.3531,0.9925,0.8727,0.7829,3
158028,1524.984,583.8958,345.9882,0.9873,0.8539,0.7682,3
152858,1488.0179,568.9197,342.9484,0.9905,0.8675,0.7754,3
80044,1059.046,378.1419,270.6614,0.9883,0.8968,0.8442,3
143446,1435.196,546.4086,335.3802,0.9896,0.8751,0.7821,3
143356,1426.459,550.8297,331.6248,0.9938,0.8853,0.7756,3
134664,1385.511,514.5657,334.5349,0.9883,0.8815,0.8047,3
153700,1453.689,524.5832,373.9211,0.991,0.914,0.8433,3
165987,1559.245,596.3097,355.5895,0.9904,0.8579,0.7709,3
142413,1438.217,527.6629,346.8893,0.9794,0.8652,0.807,3
105070,1210.703,458.1432,293.0307,0.9931,0.9008,0.7983,3
149806,1435.4399,526.9439,362.1404,0.994,0.9136,0.8288,3
116078,1265.715,452.304,327.0038,0.9907,0.9105,0.85,3
131409,1370.5649,500.5441,334.8896,0.9845,0.8791,0.8172,3
136187,1410.527,536.2725,323.7206,0.9909,0.8602,0.7765,3
163097,1527.1021,569.0895,366.1877,0.9885,0.8789,0.8008,3
219822,1819.8311,719.0757,392.0395,0.9887,0.8341,0.7357,3
164567,1487.1,534.5702,393.8198,0.9923,0.9351,0.8563,3
137347,1413.416,538.478,328.7764,0.9912,0.864,0.7766,3
86213,1096.823,384.0147,286.8239,0.9863,0.9006,0.8628,3
131633,1361.001,523.6849,320.7245,0.9946,0.893,0.7817,3
162413,1540.894,588.4892,352.1533,0.9883,0.8596,0.7727,3
152861,1474.135,548.472,356.6191,0.9832,0.884,0.8044,3
79063,1031.912,368.2993,273.6987,0.9911,0.933,0.8615,3
156886,1507.4919,592.6061,338.0879,0.993,0.8675,0.7542,3
142575,1429.6121,551.2555,331.1201,0.9896,0.8766,0.7729,3
142214,1424.568,526.2787,345.5464,0.9906,0.8806,0.8086,3
155568,1460.313,532.6481,372.7497,0.993,0.9167,0.8356,3
163093,1531.929,581.2218,358.1298,0.9904,0.8733,0.784,3
146923,1447.576,534.4625,351.8184,0.9827,0.8811,0.8092,3
103302,1190.031,440.8981,299.0482,0.9917,0.9166,0.8226,3
146017,1420.212,530.3442,350.9143,0.9947,0.9097,0.813,3
137515,1405.913,499.2482,351.661,0.9814,0.8743,0.8381,3
114987,1249.179,455.7418,321.8139,0.9915,0.926,0.8396,3
134094,1444.811,541.8755,358.6036,0.9223,0.8072,0.7625,3
166665,1540.965,583.5817,364.5487,0.9902,0.882,0.7894,3
112034,1249.8781,460.5971,310.5606,0.9903,0.9012,0.82,3
156087,1497.073,560.2502,356.9697,0.9894,0.8752,0.7957,3
102162,1191.2061,429.3986,303.5874,0.9877,0.9047,0.8399,3
151963,1477.179,551.4623,352.008,0.9918,0.8751,0.7976,3
148267,1455.217,564.1047,334.9029,0.9936,0.8798,0.7702,3
169030,1550.98,570.1261,377.9843,0.9896,0.883,0.8137,3
102142,1223.502,441.7251,296.504,0.9863,0.8574,0.8164,3
167497,1580.825,606.2756,353.0795,0.9827,0.8423,0.7617,3
182795,1646.9449,629.4767,374.9311,0.9895,0.8469,0.7664,3
165248,1592.061,612.0599,344.4518,0.9874,0.8193,0.7494,3
131994,1386.02,525.6892,320.6077,0.9887,0.8634,0.7798,3
145774,1451.353,550.7023,337.9216,0.9918,0.8696,0.7823,3
142744,1442.903,557.3111,326.9862,0.9893,0.8616,0.765,3
125081,1317.364,484.117,329.4612,0.9909,0.9057,0.8243,3
194301,1671.417,615.8516,403.3667,0.987,0.874,0.8076,3
155595,1507.019,567.617,349.976,0.9909,0.8609,0.7841,3
162925,1511.9821,564.2595,368.63,0.9937,0.8956,0.8072,3
100471,1186.373,437.8452,292.6243,0.9891,0.897,0.8169,3
112914,1257.132,471.8904,305.1801,0.9897,0.8978,0.8035,3
98903,1172.512,430.8867,292.512,0.9893,0.904,0.8236,3
167858,1528.949,581.9219,368.1325,0.9924,0.9023,0.7944,3
147204,1447.647,546.0123,343.9355,0.993,0.8827,0.7929,3
110930,1244.495,440.5929,321.4334,0.9881,0.9001,0.853,3
155520,1496.624,567.7551,349.5084,0.987,0.8725,0.7838,3
149646,1468.194,570.3056,335.8156,0.9912,0.8724,0.7654,3
154497,1491.624,579.3937,340.1177,0.9934,0.8726,0.7655,3
162849,1592.699,624.2347,333.1545,0.9847,0.8067,0.7295,3
192953,1681.762,665.5488,372.4787,0.9926,0.8573,0.7447,3
132721,1397.782,522.2059,324.7898,0.9877,0.8536,0.7872,3
144815,1432.645,530.4765,348.3135,0.9923,0.8866,0.8095,3
142955,1454.557,558.9067,326.4683,0.9876,0.8491,0.7633,3
125374,1320.2679,492.9375,324.2897,0.9935,0.9038,0.8105,3
160709,1508.494,561.2164,366.1832,0.9892,0.8875,0.806,3
204508,1704.656,612.2499,429.9135,0.9841,0.8844,0.8335,3
162728,1511.626,568.4935,365.8966,0.9932,0.8949,0.8007,3
102533,1198.348,427.9125,306.0871,0.9871,0.8972,0.8444,3
