Page total likes,Type,Lifetime Post Total Reach,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,comment,like,share,Total Interactions
138895,Status,13280,2055,1912,2720,7,216,39,262
138895,Link,18480,517,366,460,6,187,18,211
138353,Photo,7268,2087,2079,12074,7,26,3,36
138353,Link,2645,134,109,170,7,29,10,46
138353,Photo,4284,355,316,513,0,47,11,58
138353,Link,7968,206,158,223,4,57,10,71
138353,Status,16576,3572,3464,4802,4,174,36,214
138353,Link,1925,97,83,126,6,18,8,32
138353,Photo,3786,338,283,450,0,77,15,92
138353,Link,1536,84,76,99,1,12,1,14
138353,Photo,1728,108,65,95,1,48,9,58
138329,Photo,25248,726,467,863,24,285,28,337
138329,Photo,4894,355,181,264,9,202,31,242
138329,Photo,2935,237,182,401,4,64,19,87
138329,Photo,2425,260,213,433,4,66,13,83
138329,Video,16416,459,411,539,2,65,14,81
138329,Photo,5812,343,204,301,2,164,54,220
138329,Photo,2545,165,131,167,0,40,13,53
138329,Photo,2257,230,173,327,3,76,11,90
138329,Photo,27072,421,304,487,4,139,17,160
138185,Photo,10940,417,335,591,8,101,14,123
138185,Photo,50912,630,513,952,8,144,10,162
138185,Photo,28752,802,654,1268,10,179,13,202
138185,Photo,27216,541,335,540,4,219,22,245
138185,Photo,2352,232,182,258,2,60,7,69
138185,Photo,3416,356,298,641,19,77,23,119
138185,Photo,2149,197,156,219,0,48,7,55
138185,Photo,53456,1576,995,1469,20,697,70,787
138185,Photo,2168,211,168,202,0,53,17,70
137893,Photo,3102,360,288,512,7,84,28,119
137893,Photo,39344,588,460,695,7,146,9,162
137893,Video,100768,2101,1735,2331,17,449,84,550
137893,Status,9056,1006,847,1153,3,226,44,273
137893,Photo,11444,555,418,717,14,172,47,233
137893,Video,13544,517,458,667,2,99,13,114
137893,Photo,37376,1150,808,1341,20,411,74,505
137893,Photo,1228,17,17,19,0,0,0,0
137177,Photo,22984,438,374,542,4,85,8,97
137177,Photo,1445,217,167,211,0,56,8,64
137177,Photo,3754,658,640,2085,2,29,7,38
137177,Status,8728,2295,2235,2828,2,86,13,101
137177,Photo,5990,657,361,512,18,370,53,441
137177,Photo,4582,454,306,431,5,190,57,252
137177,Photo,2938,321,243,379,2,101,19,122
137177,Status,6692,199,108,141,2,99,16,117
137177,Photo,2566,384,280,469,10,140,8,158
137177,Link,21176,330,228,329,2,130,31,163
137177,Photo,4012,550,319,477,3,270,38,311
137177,Photo,1531,212,189,1359,3,30,6,39
137059,Photo,2938,374,283,483,2,107,17,126
137059,Photo,24720,845,564,850,13,331,77,421
137059,Photo,2219,287,220,329,0,78,13,91
137059,Photo,4732,607,352,518,9,301,32,342
137059,Photo,2225,310,216,289,2,111,16,129
137059,Photo,2626,316,213,299,2,124,22,148
137059,Photo,3090,391,257,360,5,153,27,185
137059,Photo,1101,324,287,2418,3,51,11,65
137059,Photo,2819,318,218,303,1,115,26,142
137020,Status,12468,2143,1966,2576,7,310,61,378
137020,Photo,12776,785,539,881,12,328,90,430
137020,Photo,1357,37,37,55,0,0,0,0
137020,Photo,68896,2624,1326,1952,26,1505,95,1626
137020,Photo,1711,288,245,339,2,63,14,79
137020,Photo,1388,224,219,931,0,13,4,17
137020,Photo,2645,357,315,482,4,59,9,72
137020,Photo,70144,3216,2628,4782,42,955,139,1136
137020,Photo,3674,452,330,487,9,181,32,222
136736,Status,9504,1132,1032,1512,17,193,28,238
136736,Photo,2426,320,237,325,7,125,16,148
136736,Status,13872,2664,2570,3395,4,217,50,271
136736,Photo,1673,338,324,1619,2,28,4,34
136736,Photo,2428,311,238,323,4,117,18,139
136642,Photo,2227,369,314,430,2,79,16,97
136642,Photo,1592,370,356,414,0,15,2,17
136642,Photo,813,323,319,387,0,4,2,6
136642,Photo,32208,1810,1490,2286,1,431,26,458
136642,Photo,729,303,298,331,0,7,0,7
136642,Photo,834,399,392,510,0,7,2,9
136393,Photo,786,263,257,318,0,6,2,8
136393,Status,15816,2733,2654,3289,6,186,40,232
136393,Photo,619,257,254,292,1,1,2,4
136393,Photo,617,229,223,265,1,3,2,6
136393,Photo,677,236,228,264,0,7,2,9
136393,Photo,3366,474,345,495,3,198,41,242
136393,Photo,747,226,220,287,0,9,1,10
136393,Photo,645,195,192,224,0,4,1,5
136393,Photo,754,206,205,252,0,3,0,3
136393,Photo,910,207,201,247,0,8,2,10
136393,Photo,3906,868,863,2632,0,7,3,10
136393,Photo,659,199,194,239,1,7,2,10
136393,Photo,652,214,206,249,0,11,1,12
136393,Photo,861,214,192,239,2,28,4,34
136393,Photo,3690,424,388,644,0,56,12,68
136393,Link,4664,204,182,251,0,32,16,48
136013,Photo,1080,210,189,249,4,32,3,39
136013,Status,8896,1480,1426,1932,0,129,25,154
136013,Photo,4018,428,374,616,4,77,19,100
136013,Link,68992,1032,975,1345,15,143,44,202
136013,Status,13152,2543,2438,3179,2,227,36,265
136013,Status,31136,6164,5934,9237,60,859,90,1009
136013,Photo,16776,714,440,720,10,377,60,447
136013,Photo,50736,1462,1450,8308,3,41,9,53
136013,Photo,5324,528,483,861,6,76,14,96
136013,Photo,18120,421,282,463,0,189,15,204
135713,Photo,2291,303,243,325,0,80,14,94
135713,Status,10744,1967,1877,2201,3,148,28,179
135713,Link,3616,111,90,118,0,24,11,35
135713,Photo,39984,2105,1921,3932,24,302,41,367
135713,Photo,4010,477,370,534,2,166,32,200
135713,Photo,6564,806,602,957,47,358,49,454
135713,Photo,8612,813,727,1390,7,161,25,193
135713,Photo,5568,746,545,867,13,319,55,387
135700,Photo,1685,322,295,424,0,54,16,70
135700,Photo,3756,469,408,613,16,117,30,163
135700,Photo,2656,390,309,445,1,115,21,137
135700,Photo,5086,622,509,757,30,187,35,252
135617,Photo,2055,346,288,412,1,84,13,98
135617,Photo,9384,757,452,652,6,363,40,409
135617,Photo,3992,598,447,688,6,244,32,282
135617,Photo,7512,769,614,951,22,290,98,410
135617,Status,11096,1843,1724,2106,4,243,41,288
135428,Photo,2790,435,360,513,0,113,19,132
135428,Photo,13856,519,450,672,2,77,5,84
135428,Photo,10748,892,498,719,8,485,64,557
135428,Photo,41984,3370,2420,4074,144,1622,208,1974
135428,Photo,2522,455,390,547,6,99,16,121
135195,Photo,4480,572,430,599,3,188,26,217
135195,Photo,1543,360,334,463,2,30,6,38
135195,Status,21256,4840,4754,5906,38,163,27,228
135195,Photo,4484,545,424,629,6,179,40,225
135195,Photo,4398,584,446,669,5,204,34,243
135195,Status,13216,2675,2584,2969,2,165,22,189
135195,Photo,22304,1805,984,1618,29,1047,98,1174
135195,Photo,6208,644,473,678,2,234,40,276
135195,Photo,4518,626,482,729,7,250,42,299
135195,Photo,3582,537,430,597,4,154,36,194
134879,Status,9124,1476,1397,1797,20,150,29,199
134879,Photo,14152,631,549,836,4,102,8,114
134879,Photo,4260,588,435,622,1,226,44,271
134879,Video,30624,2080,1956,3253,6,345,121,472
134879,Photo,2363,393,348,476,11,68,11,90
134879,Photo,2232,374,335,458,0,62,10,72
134879,Photo,4048,544,405,602,5,223,35,263
134879,Photo,1804,330,280,352,0,61,6,67
134879,Photo,2351,371,298,392,1,104,12,117
133679,Photo,3100,518,422,609,3,146,15,164
133679,Photo,2360,436,365,486,2,102,15,119
133679,Photo,19648,1359,695,990,9,766,43,818
133679,Photo,2295,377,324,402,0,63,7,70
133594,Photo,3934,512,437,599,3,113,17,133
133594,Photo,34512,1666,1333,1977,6,442,42,490
133594,Photo,5282,703,530,772,9,278,43,330
133594,Photo,1809,399,359,494,2,64,7,73
133594,Photo,1920,365,331,428,1,52,7,60
133451,Photo,1954,356,333,443,0,30,2,32
132817,Photo,33536,1954,1016,1678,33,1155,102,1290
132817,Photo,4204,498,408,596,2,139,25,166
132817,Photo,3376,428,409,631,0,40,5,45
132817,Status,9236,1151,1130,1560,2,53,15,70
132817,Photo,72864,946,759,1158,4,220,19,243
132817,Photo,3358,394,323,523,2,114,16,132
132201,Photo,3254,371,344,513,0,39,3,42
132201,Photo,50640,2240,1577,2779,4,859,68,931
132201,Photo,3734,529,434,794,5,137,20,162
132201,Photo,2594,347,315,529,1,54,11,66
132201,Photo,2232,376,322,440,2,74,22,98
132201,Photo,22120,979,906,1751,6,98,3,107
132201,Photo,7980,630,398,521,2,264,21,287
132201,Photo,1659,345,321,424,3,36,11,50
132201,Photo,1006,277,268,354,1,11,3,15
132201,Photo,12728,844,461,683,4,435,31,470
131956,Photo,28880,1062,991,1971,2,114,10,126
131956,Photo,1330,363,351,433,2,17,9,28
131956,Status,14424,304,286,383,41,15,1,57
131956,Photo,14200,1393,1354,3214,3,87,10,100
131956,Photo,5746,769,632,1063,16,227,28,271
131956,Photo,2540,389,330,458,2,86,8,96
131956,Photo,4324,548,431,676,6,179,27,212
131808,Status,8260,997,953,1211,1,74,11,86
131808,Status,20168,3370,3244,5106,18,332,54,404
131808,Photo,5046,528,477,906,2,80,21,103
131808,Status,15296,2827,2781,3627,9,95,17,121
131728,Photo,3414,473,342,525,3,188,26,217
131728,Photo,95424,699,575,882,6,109,11,126
131728,Photo,14824,868,591,966,64,367,25,456
131630,Photo,3504,444,374,497,9,102,19,130
131630,Photo,2822,424,351,486,2,113,20,135
131630,Photo,2973,356,297,415,0,94,20,114
131630,Status,10824,135,126,153,6,14,1,21
131630,Photo,4592,320,289,423,1,43,10,54
131630,Photo,3176,372,319,577,1,98,21,120
131300,Status,10956,128,119,130,3,13,1,17
131300,Photo,10888,913,783,1370,12,237,45,294
131300,Photo,3594,424,354,530,4,112,23,139
131300,Photo,3384,451,395,561,2,101,25,128
130791,Photo,4096,487,406,723,10,145,31,186
130791,Photo,19968,1016,592,909,6,535,83,624
130791,Photo,4892,536,460,721,4,118,22,144
130791,Status,17360,2573,2448,6017,9,484,79,572
130791,Video,21872,3872,3822,7327,18,315,76,409
130791,Photo,180480,8072,4010,6242,372,5172,790,6334
130791,Photo,44464,1052,930,1571,4,154,30,188
130791,Photo,2881,550,503,730,0,73,15,88
129600,Photo,3460,541,482,667,0,96,19,115
129600,Photo,3406,571,512,731,1,98,19,118
129600,Photo,2602,479,444,588,1,53,14,68
129600,Photo,5848,622,570,795,4,71,10,85
129600,Photo,26944,877,740,1097,6,194,34,234
129600,Photo,5292,756,646,1033,6,226,42,274
129600,Status,15576,2417,2327,3098,11,238,51,300
129600,Photo,54256,1620,963,1419,10,755,58,823
129600,Photo,3726,602,574,785,30,47,8,85
129600,Photo,31904,863,770,1106,2,126,32,160
129600,Photo,40336,1407,1330,2251,4,104,10,118
129600,Photo,4220,685,597,838,10,167,26,203
129600,Photo,4666,729,648,1014,9,152,41,202
129600,Photo,4274,701,638,1020,0,128,15,143
129600,Photo,28208,964,827,1237,13,234,43,290
128032,Photo,3330,513,478,652,2,61,16,79
128032,Photo,3528,550,513,787,0,66,9,75
128032,Photo,38576,1355,890,1328,7,529,60,596
128032,Photo,2628,528,503,652,3,42,10,55
128032,Photo,7232,758,700,1236,2,75,24,101
128032,Status,10188,1473,1441,2136,13,61,13,87
128032,Photo,6408,909,861,14974,26,162,7,195
128032,Photo,3414,515,493,710,2,47,4,53
128032,Photo,53056,2003,1412,2089,6,696,28,730
128032,Photo,66976,1191,1054,1641,7,215,47,269
127082,Photo,76096,2889,2495,4596,22,534,31,587
126424,Photo,5458,1007,933,1181,1,143,27,171
126424,Photo,3706,895,884,1173,18,46,7,71
126424,Status,18320,3742,3682,7854,36,98,14,148
126424,Photo,2316,722,716,862,0,25,5,30
126424,Video,139008,1779,1643,2356,23,204,44,271
126345,Photo,5854,1043,947,19779,11,202,5,218
126345,Photo,109056,2552,2457,4906,7,148,39,194
126345,Photo,3212,735,720,897,1,40,8,49
126345,Photo,3046,909,872,1147,1,71,17,89
126345,Status,12044,2240,2193,3599,0,104,13,117
126141,Photo,9652,1400,1381,2801,1,34,4,39
126141,Photo,28112,1631,1537,2438,11,129,12,152
126141,Status,8628,870,843,1692,4,72,18,94
126141,Photo,2431,389,383,7980,0,15,3,18
126141,Photo,20560,936,860,1126,14,102,9,125
126141,Photo,20896,1418,1038,2048,103,469,33,605
125612,Photo,2402,170,145,286,5,57,5,67
125612,Photo,1729,596,591,735,0,23,2,25
125612,Photo,4320,753,681,1021,5,141,26,172
125612,Photo,2585,569,560,781,0,19,5,24
125612,Photo,3322,610,569,852,1,71,23,95
125612,Photo,3600,691,656,913,0,72,21,93
125612,Photo,11620,1160,1138,2042,5,54,7,66
125612,Photo,4248,724,671,920,5,93,19,117
125612,Photo,2763,564,523,650,0,62,10,72
125612,Photo,3558,621,568,775,0,78,16,94
124940,Photo,8324,840,834,1388,0,14,1,15
124940,Photo,6952,909,779,1229,11,231,43,285
124940,Photo,2823,552,503,622,1,72,16,89
124940,Photo,63840,1382,1229,1871,9,197,28,234
124940,Photo,11608,985,705,940,4,330,29,363
124940,Photo,58304,884,715,1034,0,148,7,155
124940,Photo,4762,842,725,1014,2,208,28,238
124940,Photo,6150,750,676,969,12,148,28,188
124940,Photo,4644,768,683,1000,4,154,26,184
124940,Photo,22464,1029,934,1408,3,142,18,163
124940,Photo,3754,791,730,1072,8,107,20,135
124940,Photo,4452,666,658,948,0,22,3,25
124940,Photo,3576,664,618,870,2,84,13,99
124940,Photo,3028,579,548,740,2,59,12,73
124940,Photo,4022,647,616,995,3,65,14,82
124940,Photo,52736,1635,1622,2824,0,24,4,28
124940,Photo,47376,1557,1426,2051,9,186,23,218
123047,Photo,3234,756,724,937,0,58,17,75
123047,Photo,3322,702,656,863,2,74,14,90
123047,Photo,6768,768,672,930,2,180,44,226
123047,Photo,11304,1141,1065,1874,18,168,49,235
123047,Photo,13544,759,733,1082,0,36,5,41
123047,Photo,3418,581,546,770,2,51,6,59
123047,Photo,3662,560,522,677,2,67,14,83
123047,Photo,56672,2579,1334,1850,20,1372,47,1439
123047,Photo,3294,526,488,599,2,57,6,65
121540,Photo,3110,732,712,892,2,33,10,45
121540,Photo,3806,722,658,880,1,79,17,97
120050,Photo,3776,577,529,719,3,97,22,122
120050,Photo,39040,1684,1183,2123,16,617,58,691
120050,Photo,4032,684,607,848,7,139,34,180
120050,Photo,21248,1049,918,1438,20,199,32,251
119198,Photo,4344,692,626,872,1,107,26,134
119198,Photo,2718,566,528,663,0,50,10,60
119198,Photo,3024,596,560,721,0,64,20,84
119198,Status,10152,1636,1599,2755,2,55,10,67
119198,Photo,4708,678,594,889,1,142,37,180
119198,Photo,2772,526,479,604,2,72,9,83
119198,Photo,2812,536,485,672,4,79,16,99
119198,Photo,6460,823,706,1197,25,244,44,313
117764,Photo,18056,1062,875,1389,25,307,58,390
117764,Photo,5016,679,569,966,6,212,36,254
117764,Photo,3528,470,415,583,2,95,17,114
117764,Photo,6444,734,625,1157,5,194,33,232
117764,Photo,4458,491,432,676,6,101,29,136
117764,Link,12540,344,322,396,3,46,14,63
117764,Photo,4362,604,509,767,3,156,20,179
117764,Photo,38960,2298,1702,3000,37,821,90,948
117764,Photo,3144,392,356,507,1,58,13,72
117764,Photo,4336,574,484,847,12,155,23,190
117764,Photo,81856,3000,1637,2718,45,1639,122,1806
116435,Photo,5728,676,587,1049,3,155,32,190
116435,Photo,5490,647,555,847,4,166,33,203
116435,Status,23832,1701,1570,2838,6,210,39,255
116435,Photo,18552,1005,676,1021,4,400,25,429
116435,Photo,4132,552,495,713,2,98,18,118
116435,Photo,4910,625,561,869,12,138,38,188
116435,Photo,4202,562,481,730,3,148,16,167
116091,Photo,5976,689,544,833,2,267,40,309
116091,Photo,5206,565,492,878,1,144,29,174
116091,Photo,6984,780,631,1116,25,256,54,335
116091,Photo,6000,577,539,886,3,72,24,99
116091,Photo,3332,463,406,552,0,87,18,105
116091,Status,9232,908,861,1967,1,129,36,166
115893,Photo,5212,736,642,1005,1,179,30,210
115893,Photo,24264,1599,1485,3153,9,194,33,236
115368,Photo,4280,624,555,771,1,124,32,157
115368,Photo,6692,905,742,1165,4,304,47,355
115368,Photo,5594,739,670,1048,12,138,39,189
115368,Photo,11336,583,547,724,4,41,9,54
113028,Photo,5582,708,620,923,2,163,35,200
113028,Photo,28352,1476,1242,1990,45,407,76,528
113028,Status,17912,2750,2567,6591,17,447,123,587
113028,Link,35360,339,325,477,7,38,11,56
113028,Photo,9084,962,916,1897,2,93,26,121
113028,Photo,6880,671,639,889,0,59,16,75
111620,Photo,12824,830,623,864,0,286,30,316
111620,Photo,6596,564,526,678,0,66,13,79
111620,Photo,7492,838,713,1274,8,236,51,295
111620,Photo,44288,1215,1105,1746,2,152,11,165
111620,Photo,105632,3984,2254,3391,51,1998,128,2177
111620,Photo,128064,1539,1408,2506,8,186,18,212
109670,Photo,5994,964,838,1254,11,235,34,280
109670,Photo,6172,718,684,906,1,64,22,87
109670,Photo,4986,662,614,788,2,92,28,122
109670,Photo,6668,669,642,943,3,53,13,69
109670,Photo,5298,657,575,874,5,140,38,183
109670,Photo,35008,621,597,768,0,48,8,56
109670,Photo,5402,700,633,1078,0,112,14,126
109670,Photo,9880,524,497,658,0,35,5,40
109670,Photo,3334,584,565,842,4,37,3,44
109670,Photo,3130,522,495,616,0,48,14,62
109670,Photo,32208,1933,1367,2123,6,766,109,881
109670,Photo,20920,705,642,913,1,96,18,115
109670,Photo,3884,518,483,597,1,57,13,71
107907,Photo,4240,601,542,730,3,114,21,138
107907,Photo,3544,509,482,701,1,51,6,58
107907,Photo,3286,504,458,633,1,87,27,115
107907,Photo,71360,1784,1732,3383,5,81,11,97
107907,Photo,3824,666,627,822,1,71,18,90
107907,Photo,6360,715,631,1028,9,164,52,225
107907,Photo,3714,537,481,645,5,91,26,122
107907,Photo,46192,1364,1096,1697,9,329,38,376
107907,Photo,39568,741,652,957,4,128,17,149
107907,Link,70912,1374,1106,1267,1,379,40,420
107907,Photo,4552,471,444,569,1,52,24,77
107907,Photo,4390,484,453,602,1,63,26,90
107907,Photo,4770,494,455,632,2,97,25,124
106928,Photo,2970,421,390,544,2,56,9,67
106928,Link,34192,338,322,389,1,36,7,44
106928,Photo,5302,624,566,979,4,138,26,168
106928,Photo,5560,642,586,984,7,142,24,173
106928,Photo,4406,477,433,571,1,75,15,91
106928,Photo,5290,612,570,857,1,89,14,104
104070,Photo,3696,517,474,742,2,63,16,81
104070,Photo,6030,735,659,1448,3,176,29,208
104070,Photo,49632,1653,1480,2567,7,227,15,249
104070,Status,9120,951,937,1290,3,25,6,34
104070,Photo,1874,25,25,31,0,0,0,0
102112,Photo,4122,466,455,609,1,27,11,39
102112,Photo,5080,523,505,727,0,39,14,53
102112,Photo,4068,538,513,934,0,61,13,74
102112,Photo,3272,463,446,653,0,32,7,39
102112,Photo,238,143,142,834,0,2,0,2
102112,Photo,3358,541,507,4550,8,109,3,120
102112,Photo,6400,735,726,8415,0,32,6,38
102112,Link,6876,282,245,337,2,68,15,85
100732,Photo,391,131,130,766,0,6,1,7
100732,Photo,10844,1409,1339,11064,4,213,13,230
100732,Photo,5132,398,398,1690,0,2,0,2
100732,Photo,3772,144,144,1033,0,3,0,3
100732,Link,2933,24,23,26,0,6,0,6
100732,Photo,4094,206,203,1420,0,4,0,4
100732,Photo,452,186,184,889,0,4,1,5
100732,Photo,11420,1411,1342,8049,12,211,14,237
100732,Photo,5704,452,450,2895,1,15,1,17
100732,Photo,7192,587,554,3941,11,95,4,110
100732,Photo,9604,1061,1037,9614,16,127,0,143
100732,Photo,122944,1373,1268,2106,0,136,13,149
98195,Link,5730,103,71,97,2,32,15,49
98195,Photo,4898,560,528,719,1,76,9,86
98195,Photo,4118,546,526,675,1,28,7,36
98195,Photo,1845,9,9,9,0,0,0,0
98195,Photo,34480,1591,1156,1926,10,664,97,771
96749,Photo,5338,589,556,715,1,62,10,73
96749,Photo,5312,603,582,795,0,48,20,68
96749,Photo,4412,711,678,926,1,55,7,63
96749,Photo,98816,11452,11328,18115,10,197,21,228
96749,Photo,7220,2348,2300,3311,6,88,24,118
96749,Photo,14320,1850,1819,2170,2,59,6,67
93684,Photo,27056,2299,2127,2737,6,234,26,266
93577,Photo,20528,1876,1800,2654,3,148,21,172
93470,Photo,6416,1362,1313,1652,0,96,29,125
93363,Photo,5786,1237,1218,1526,4,49,15,68
93256,Photo,5878,1132,1087,1380,3,98,27,128
93149,Photo,9528,1383,1288,1834,14,198,70,282
93042,Photo,8500,1095,1029,1422,5,159,53,217
92935,Photo,3796,949,940,1192,1,22,6,29
92828,Photo,28128,2283,2190,3400,6,154,18,178
92721,Photo,7228,1239,1189,1612,5,128,32,165
92614,Photo,5290,1053,994,1326,2,129,32,163
92507,Photo,55520,4544,3586,6624,146,1546,181,1873
92400,Photo,5880,1291,1264,1878,5,79,11,95
92293,Photo,10040,1429,1346,2022,19,214,78,311
92186,Photo,153536,1713,1633,2493,8,134,34,176
92079,Photo,158208,2482,2319,3412,9,268,36,313
91972,Photo,6484,1166,1115,1441,4,128,38,170
91865,Photo,4840,949,923,1116,3,47,21,71
91758,Photo,15880,1188,1071,1410,1,200,37,238
91651,Photo,15288,1573,1401,2110,5,264,36,305
91544,Photo,9528,1245,1175,1725,10,193,61,264
91437,Link,9356,448,381,505,4,114,13,131
91330,Photo,7732,1066,1002,1336,7,160,57,224
91223,Photo,5240,857,837,1020,0,46,15,61
91116,Photo,7132,1004,944,1226,4,136,42,182
91009,Photo,21928,1512,1479,1837,0,73,13,86
86909,Photo,5754,1179,1143,1452,0,65,19,84
86909,Photo,37088,2728,2288,3183,7,579,47,633
86909,Link,39600,572,496,581,1,101,5,107
86909,Photo,5536,1141,1099,1461,1,74,31,106
86909,Photo,6056,1117,1078,1427,7,84,36,127
86909,Photo,11484,1762,1635,2741,56,360,99,515
86491,Link,4938,66,63,70,0,5,2,7
86491,Photo,66784,2969,2833,3645,3,187,36,226
86491,Photo,5526,1096,1058,1399,2,69,26,97
86491,Photo,5040,1062,1023,1348,2,82,24,108
86491,Link,5168,66,59,71,0,12,2,14
85979,Photo,5034,1020,993,1243,2,56,25,83
85979,Photo,4908,957,937,1153,1,44,21,66
85979,Photo,9700,1407,1271,2007,21,277,80,378
85979,Photo,4800,975,938,1278,1,74,28,103
85979,Photo,5280,951,911,1237,1,79,30,110
85979,Photo,6184,956,901,1140,1,105,46,152
85979,Link,45920,753,655,763,0,128,9,137
85093,Photo,8412,1179,1111,1632,17,185,55,257
85093,Photo,5400,810,756,1003,10,125,41,176
85093,Photo,4684,733,708,985,5,53,26,84
81370,Photo,3480,537,508,687,0,53,22,75
81370,Photo,3778,625,572,795,4,93,18,115
81370,Photo,4156,626,574,832,7,91,38,136
81370,Photo,4188,564,524,743,0,91,28,119
